Type,MimeType,Supplier,Author,Publisher,Group,Name,Version,Scope,LicenseExpressions,LicenseNames,Copyright,Cpe,Purl,Modified,SwidTagId,SwidName,SwidVersion,SwidTagVersion,SwidPatch,SwidTextContentType,SwidTextEncoding,SwidTextContent,SwidUrl,MD5,SHA-1,SHA-256,SHA-384,SHA-512,SHA3-256,SHA3-384,SHA3-512,BLAKE2b-256,BLAKE2b-384,BLAKE2b-512,BLAKE3,Description
Library,,,,,,apt,2.7.14build2,,BSD-3-Clause AND LicenseRef-Expat AND GPL-2.0-only AND GPL-2.0-or-later,,,cpe:2.3:a:apt:apt:2.7.14build2:*:*:*:*:*:*:*,pkg:deb/ubuntu/apt@2.7.14build2?arch=amd64&distro=ubuntu-24.04,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,base-files,13ubuntu10.2,,,GPL,,cpe:2.3:a:base-files:base-files:13ubuntu10.2:*:*:*:*:*:*:*,pkg:deb/ubuntu/base-files@13ubuntu10.2?arch=amd64&distro=ubuntu-24.04,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,base-passwd,3.6.3build1,,GPL-2.0-only AND LicenseRef-public-domain,,,cpe:2.3:a:base-passwd:base-passwd:3.6.3build1:*:*:*:*:*:*:*,pkg:deb/ubuntu/base-passwd@3.6.3build1?arch=amd64&distro=ubuntu-24.04,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,bash,5.2.21-2ubuntu4,,BSD-4-Clause-UC AND GFDL-1.3-only AND LicenseRef-GFDL-NIV-1.3 AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND Latex2e AND LicenseRef-MIT-like AND LicenseRef-permissive,,,cpe:2.3:a:bash:bash:5.2.21-2ubuntu4:*:*:*:*:*:*:*,pkg:deb/ubuntu/bash@5.2.21-2ubuntu4?arch=amd64&distro=ubuntu-24.04,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,bsdutils,1:2.39.3-9ubuntu6.2,,BSD-3-Clause AND BSD-4-Clause AND LicenseRef-BSLA AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND LicenseRef-LGPL AND LGPL-2.0-only AND LGPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later AND MIT AND LicenseRef-public-domain,,,cpe:2.3:a:bsdutils:bsdutils:1\:2.39.3-9ubuntu6.2:*:*:*:*:*:*:*,pkg:deb/ubuntu/bsdutils@1%3A2.39.3-9ubuntu6.2?arch=amd64&distro=ubuntu-24.04&upstream=util-linux%402.39.3-9ubuntu6.2,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,coreutils,9.4-3ubuntu6,,BSD-4-Clause-UC AND FSFULLR AND GFDL-1.3-only AND LicenseRef-GFDL-NIV-1.3 AND GPL-3.0-only AND GPL-3.0-or-later AND ISC,,,cpe:2.3:a:coreutils:coreutils:9.4-3ubuntu6:*:*:*:*:*:*:*,pkg:deb/ubuntu/coreutils@9.4-3ubuntu6?arch=amd64&distro=ubuntu-24.04,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,dash,0.5.12-6ubuntu5,,BSD-3-Clause AND BSD-3-Clause AND GPL-2.0-only AND GPL-2.0-or-later AND LicenseRef-public-domain,,,cpe:2.3:a:dash:dash:0.5.12-6ubuntu5:*:*:*:*:*:*:*,pkg:deb/ubuntu/dash@0.5.12-6ubuntu5?arch=amd64&distro=ubuntu-24.04,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,debconf,1.5.86ubuntu1,,BSD-2-Clause,,,cpe:2.3:a:debconf:debconf:1.5.86ubuntu1:*:*:*:*:*:*:*,pkg:deb/ubuntu/debconf@1.5.86ubuntu1?arch=all&distro=ubuntu-24.04,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,debianutils,5.17build1,,GPL-2.0-only AND GPL-2.0-or-later AND LicenseRef-SMAIL-GPL AND LicenseRef-public-domain,,,cpe:2.3:a:debianutils:debianutils:5.17build1:*:*:*:*:*:*:*,pkg:deb/ubuntu/debianutils@5.17build1?arch=amd64&distro=ubuntu-24.04,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,diffutils,1:3.10-1build1,,FSFAP AND FSFULLR AND GFDL-1.3-only AND LicenseRef-GFDL-NIV-1.3 AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND LGPL-2.0-only AND LGPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later AND X11 AND LicenseRef-public-domain,,,cpe:2.3:a:diffutils:diffutils:1\:3.10-1build1:*:*:*:*:*:*:*,pkg:deb/ubuntu/diffutils@1%3A3.10-1build1?arch=amd64&distro=ubuntu-24.04,,,,,,,,,,,,,,,,,,,,,,,
